folder,filename,lpips,gt_path,sr_path
agricultural,agricultural00.png,0.6061081290245056,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural00.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural00_SwinIR.png
agricultural,agricultural01.png,0.5788785815238953,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural01.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural01_SwinIR.png
agricultural,agricultural02.png,0.5172555446624756,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural02.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural02_SwinIR.png
agricultural,agricultural03.png,0.6118466854095459,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural03.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural03_SwinIR.png
agricultural,agricultural04.png,0.48026424646377563,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural04.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural04_SwinIR.png
agricultural,agricultural05.png,0.5429991483688354,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural05.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural05_SwinIR.png
agricultural,agricultural06.png,0.6525323390960693,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural06.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural06_SwinIR.png
agricultural,agricultural07.png,0.6990392208099365,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural07.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural07_SwinIR.png
agricultural,agricultural08.png,0.7163727283477783,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural08.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural08_SwinIR.png
agricultural,agricultural09.png,0.7133846282958984,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural09.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural09_SwinIR.png
agricultural,agricultural10.png,0.4327712059020996,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural10.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural10_SwinIR.png
agricultural,agricultural11.png,0.589114785194397,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural11.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural11_SwinIR.png
agricultural,agricultural12.png,0.4079951047897339,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural12.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural12_SwinIR.png
agricultural,agricultural13.png,0.5838550329208374,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural13.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural13_SwinIR.png
agricultural,agricultural14.png,0.598311185836792,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural14.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural14_SwinIR.png
agricultural,agricultural15.png,0.47113457322120667,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural15.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural15_SwinIR.png
agricultural,agricultural16.png,0.40849554538726807,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural16.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural16_SwinIR.png
agricultural,agricultural17.png,0.5408506989479065,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural17.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural17_SwinIR.png
agricultural,agricultural18.png,0.5342599749565125,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural18.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural18_SwinIR.png
agricultural,agricultural19.png,0.4193345904350281,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural19.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural19_SwinIR.png
agricultural,agricultural20.png,0.5083539485931396,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural20.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural20_SwinIR.png
agricultural,agricultural21.png,0.5704432129859924,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural21.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural21_SwinIR.png
agricultural,agricultural22.png,0.5262171626091003,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural22.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural22_SwinIR.png
agricultural,agricultural23.png,0.6161694526672363,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural23.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural23_SwinIR.png
agricultural,agricultural24.png,0.3908013105392456,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural24.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural24_SwinIR.png
agricultural,agricultural25.png,0.34889596700668335,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural25.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural25_SwinIR.png
agricultural,agricultural26.png,0.4575231671333313,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural26.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural26_SwinIR.png
agricultural,agricultural27.png,0.5898826718330383,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural27.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural27_SwinIR.png
agricultural,agricultural28.png,0.6660466194152832,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural28.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural28_SwinIR.png
agricultural,agricultural29.png,0.6457750201225281,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural29.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural29_SwinIR.png
agricultural,agricultural30.png,0.4774712920188904,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural30.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural30_SwinIR.png
agricultural,agricultural31.png,0.418788880109787,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural31.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural31_SwinIR.png
agricultural,agricultural32.png,0.5288825035095215,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural32.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural32_SwinIR.png
agricultural,agricultural33.png,0.539616584777832,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural33.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural33_SwinIR.png
agricultural,agricultural34.png,0.5691755414009094,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural34.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural34_SwinIR.png
agricultural,agricultural35.png,0.4594489336013794,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural35.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural35_SwinIR.png
